postcode,lsoa21cd,lsoa21nm,admin_district,codes_lsoa
B25 8DS,E01008882,E05011182,Birmingham,E01008882
B13 9JU,E01009185,E05011154,Birmingham,E01009185
B26 2ES,E01009517,E05011137,Birmingham,E01009517
B15 1DR,E01009146,E05011151,Birmingham,E01009146
B15 1DH,E01009146,E05011151,Birmingham,E01009146
B27 7JB,E01009019,E05011118,Birmingham,E01009019
B12 0SU,E01034947,E05011126,Birmingham,E01034947
B16 8FT,E01033564,E05011151,Birmingham,E01033564
B5 6EW,E01033615,E05011126,Birmingham,E01033615
B12 9TB,E01009366,E05011122,Birmingham,E01009366
B10 0JF,E01009337,E05011167,Birmingham,E01009337
B72 1DG,E01009463,E05011181,Birmingham,E01009463
B8 2JT,E01009487,E05011183,Birmingham,E01009487
B75 5TJ,E01009416,E05011177,Birmingham,E01009416
B75 7RH,E01009447,E05011176,Birmingham,E01009447
B32 2RQ,E01009255,E05011163,Birmingham,E01009255
B31 5QA,E01009172,E05011119,Birmingham,E01009172
B10 9LE,E01009325,E05011167,Birmingham,E01009325
B28 0DE,E01009037,E05011141,Birmingham,E01009037
B6 5HA,E01034923,E05011121,Birmingham,E01034923
B38 9TX,E01009114,E05011149,Birmingham,E01009114
B27 6LQ,E01008893,E05011118,Birmingham,E01008893
B21 0AT,E01009349,E05011147,Birmingham,E01009349
B30 1AP,E01008959,E05011129,Birmingham,E01008959
B34 6HH,E01009091,E05011131,Birmingham,E01009091
B23 6HE,E01009408,E05011173,Birmingham,E01009408
B26 3LG,E01009319,E05011166,Birmingham,E01009319
B7 5BS,E01034928,E05011155,Birmingham,E01034928
B20 1BS,E01009278,E05011143,Birmingham,E01009278
B14 5YF,E01008979,E05011133,Birmingham,E01008979
B13 0RB,E01008936,E05011124,Birmingham,E01008936
B1 1UE,E01033616,E05011151,Birmingham,E01033616
B74 4XH,E01009433,E05011175,Birmingham,E01009433
B17 0EE,E01009069,E05011144,Birmingham,E01009069
B19 2QB,E01008913,E05011156,Birmingham,E01008913
B6 5ES,E01034926,E05011121,Birmingham,E01034926
B44 8AN,E01009232,E05011150,Birmingham,E01009232
B28 9LF,E01009035,E05011140,Birmingham,E01009035
B26 1EE,E01008891,E05011169,Birmingham,E01008891
B44 0SP,E01009127,E05011150,Birmingham,E01009127
B74 4LT,E01009419,E05011175,Birmingham,E01009419
B20 2DW,E01009263,E05011143,Birmingham,E01009263
B17 8DR,E01009147,E05011157,Birmingham,E01009147
B18 5RT,E01009360,E05011168,Birmingham,E01009360
B13 9UG,E01009189,E05011154,Birmingham,E01009189
B14 6JA,E01008970,E05011130,Birmingham,E01008970
B14 7EN,E01009175,E05011130,Birmingham,E01009175
B17 0SE,E01009078,E05011144,Birmingham,E01009078
B12 9NH,E01034938,E05011122,Birmingham,E01034938
B19 3UY,E01034929,E05011156,Birmingham,E01034929
B23 7XG,E01009124,E05011173,Birmingham,E01009124
B29 5XD,E01009500,E05011184,Birmingham,E01009500
B16 0EP,E01009153,E05011157,Birmingham,E01009153
B12 9PJ,E01009182,E05011154,Birmingham,E01009182
B20 3NJ,E01009050,E05011125,Birmingham,E01009050
B16 8AF,E01033627,E05011151,Birmingham,E01033627
B3 1EJ,E01033620,E05011168,Birmingham,E01033620
B76 2SS,E01009450,E05011180,Birmingham,E01009450
B21 8HJ,E01009272,E05011143,Birmingham,E01009272
B5 4TJ,E01033567,E05011126,Birmingham,E01033567
B31 5DZ,E01009158,E05011136,Birmingham,E01009158
B31 2FJ,E01009493,E05011184,Birmingham,E01009493
B44 9QB,E01009233,E05011159,Birmingham,E01009233
B17 0LY,E01009075,E05011144,Birmingham,E01009075
B17 8NP,E01009147,E05011157,Birmingham,E01009147
B44 0DD,E01009131,E05011150,Birmingham,E01009131
B13 0LN,E01008938,E05011124,Birmingham,E01008938
B42 1UJ,E01009237,E05011160,Birmingham,E01009237
B42 2AS,E01009234,E05011160,Birmingham,E01009234
B17 9AG,E01009252,E05011163,Birmingham,E01009252
B1 2AF,E01033625,E05011151,Birmingham,E01033625
B13 8QP,E01009186,E05011154,Birmingham,E01009186
B24 8QA,E01009400,E05011139,Birmingham,E01009400
B29 6JQ,E01009284,E05011129,Birmingham,E01009284
B21 0HJ,E01009354,E05011147,Birmingham,E01009354
B13 9SS,E01009187,E05011154,Birmingham,E01009187
B16 0RP,E01008986,E05011157,Birmingham,E01008986
B45 8RD,E01009169,E05011164,Birmingham,E01009169
B10 0JE,E01009337,E05011167,Birmingham,E01009337
B17 0QX,E01033562,E05011144,Birmingham,E01033562
B29 6PX,E01009291,E05011184,Birmingham,E01009291
B27 6QS,E01008889,E05011118,Birmingham,E01008889
B23 7QP,E01033646,E05011139,Birmingham,E01033646
B6 6HR,E01034919,E05011121,Birmingham,E01034919
B24 0RN,E01009100,E05011162,Birmingham,E01009100
B42 2BY,E01009246,E05011160,Birmingham,E01009246
B29 6ES,E01009290,E05011128,Birmingham,E01009290
B19 2BD,E01008906,E05011153,Birmingham,E01008906
B20 3TX,E01009049,E05011125,Birmingham,E01009049
B23 6LR,E01009006,E05011135,Birmingham,E01009006
B19 1BU,E01009355,E05011153,Birmingham,E01009355
B17 9LN,E01009069,E05011144,Birmingham,E01009069
B8 2RS,E01009086,E05011131,Birmingham,E01009086
B28 9RH,E01009033,E05011140,Birmingham,E01009033
B42 2JS,E01009248,E05011159,Birmingham,E01009248
B32 2LT,E01009074,E05011144,Birmingham,E01009074
B24 8JW,E01008998,E05011139,Birmingham,E01008998
B9 5JP,E01009341,E05011145,Birmingham,E01009341
B28 0SN,E01008944,E05011124,Birmingham,E01008944
B5 7LD,E01034947,E05011126,Birmingham,E01034947
B75 7PY,E01009448,E05011176,Birmingham,E01009448
B26 3TR,E01009315,E05011166,Birmingham,E01009315
B32 1AG,E01009250,E05011163,Birmingham,E01009250
B20 2QS,E01009048,E05011125,Birmingham,E01009048
B29 7LS,E01009288,E05011128,Birmingham,E01009288
B38 9JE,E01009109,E05011149,Birmingham,E01009109
B20 2PF,E01009263,E05011143,Birmingham,E01009263
B32 4DE,E01008928,E05011123,Birmingham,E01008928
B42 2EE,E01009246,E05011160,Birmingham,E01009246
B35 6HY,E01009096,E05011132,Birmingham,E01009096
B23 7AU,E01009123,E05011161,Birmingham,E01009123
B15 2LH,E01034936,E05011134,Birmingham,E01034936
B25 8LL,E01008883,E05011169,Birmingham,E01008883
B31 2TX,E01009158,E05011158,Birmingham,E01009158
B6 6EP,E01034920,E05011121,Birmingham,E01034920
B21 0TR,E01034921,E05011168,Birmingham,E01034921
B34 6EX,E01009091,E05011138,Birmingham,E01009091
B23 5AD,E01034913,E05011161,Birmingham,E01034913
B44 0LL,E01009130,E05011150,Birmingham,E01009130
B23 7YA,E01009411,E05011173,Birmingham,E01009411
B32 2DH,E01009256,E05011163,Birmingham,E01009256
B38 9RH,E01009113,E05011149,Birmingham,E01009113
B1 2PU,E01034951,E05011151,Birmingham,E01034951
B73 6HY,E01009449,E05011178,Birmingham,E01009449
B44 9UH,E01009226,E05011159,Birmingham,E01009226
B26 3UT,E01009317,E05011166,Birmingham,E01009317
B75 7HZ,E01009448,E05011177,Birmingham,E01009448
B72 1NL,E01009451,E05011178,Birmingham,E01009451
B36 8LU,E01009080,E05011131,Birmingham,E01009080
B36 8BG,E01009088,E05011131,Birmingham,E01009088
B23 5SD,E01009001,E05011135,Birmingham,E01009001
B27 7JT,E01009025,E05011118,Birmingham,E01009025
B73 5JY,E01009459,E05011181,Birmingham,E01009459
B9 5FG,E01009197,E05011145,Birmingham,E01009197
B30 3LD,E01008977,E05011148,Birmingham,E01008977
B13 9AF,E01009385,E05011154,Birmingham,E01009385
B1 1FJ,E01033625,E05011151,Birmingham,E01033625
B9 4XB,E01034935,E05011126,Birmingham,E01034935
B29 4AJ,E01009294,E05011184,Birmingham,E01009294
B9 5RW,E01009331,E05011127,Birmingham,E01009331
B73 5DY,E01009474,E05011179,Birmingham,E01009474
B23 7NP,E01033646,E05011139,Birmingham,E01033646
